category,pub_year,source,title_t1_count,title_t2_count,title_t3_count,abstract_t1_count,abstract_t2_count,abstract_t3_count,total_t1_count,total_t2_count,total_t3_count,total_papers,title_t1_pct,title_t2_pct,title_t3_pct,abstract_t1_pct,abstract_t2_pct,abstract_t3_pct,total_t1_pct,total_t2_pct,total_t3_pct
Life & Earth Sciences,2016,OpenAlex,84,174,1753,1977,923,11393,1993,969,11634,43164,0.19460661662496526,0.4031137058659994,4.0612547493281435,4.580205726994717,2.1383560374386064,26.394680752478916,4.617273653970902,2.2449263274951345,26.95301640255769
Life & Earth Sciences,2016,PubMed,155,369,3796,2658,1888,24038,2721,1964,24604,80812,0.1918031975449191,0.45661535415532345,4.697322179874276,3.2891154778993217,2.3362866900955304,29.74558233925655,3.3670741969014504,2.4303321288917488,30.44597337029154
Life & Earth Sciences,2017,OpenAlex,124,217,2354,2373,1191,13931,2405,1238,14246,51283,0.2417955267827545,0.4231421718698204,4.590215081021001,4.627264395608681,2.3224070354698436,27.164947448472205,4.689663241230037,2.4140553399762106,27.77918608505743
Life & Earth Sciences,2017,PubMed,172,468,3648,2234,1781,20400,2306,1920,21184,74705,0.230238939829998,0.626464092095576,4.883207281975771,2.9904290208152067,2.384043906030386,27.30740914262767,3.0868081119068336,2.570109095776722,28.356870356736497
Life & Earth Sciences,2018,OpenAlex,185,288,3319,3301,1522,19295,3345,1592,19753,68642,0.26951429154162176,0.41956819439993004,4.835232073657528,4.809009061507532,2.217301360682964,28.109612190786983,4.873109757874188,2.3192797412662802,28.77684216660354
Life & Earth Sciences,2018,PubMed,180,534,4294,2454,2110,23599,2536,2263,24492,84550,0.21289178001182735,0.631578947368421,5.078651685393258,2.902424600827912,2.495564754583087,27.911295091661735,2.9994086339444115,2.67652276759314,28.967474866942638
Life & Earth Sciences,2019,OpenAlex,180,332,3812,3829,1847,22995,3878,1915,23519,78690,0.2287457110179184,0.42190875587749394,4.84432583555725,4.865929597153387,2.347185156944974,29.222264582539076,4.9281992629304865,2.433600203329521,29.88816876350235
Life & Earth Sciences,2019,PubMed,178,562,4781,2628,2359,26903,2705,2511,27897,94257,0.1888453907932567,0.5962421889090466,5.072302322373935,2.7881218371049363,2.5027318925915316,28.54217723882576,2.8698133825604466,2.6639931251790316,29.596740825615075
Life & Earth Sciences,2020,OpenAlex,230,427,4759,4590,2275,29158,4645,2379,29789,96273,0.2389039502248813,0.4435303771566275,4.943234344000914,4.767691876226979,2.3630716815721957,30.286788611552563,4.8248210817155375,2.4710978155869245,30.94221640543039
Life & Earth Sciences,2020,PubMed,200,591,5823,2834,2757,31283,2908,2928,32506,107566,0.18593235780822936,0.5494301173233178,5.413420597586598,2.63466151014261,2.5630775523864417,29.082609746574196,2.7034564825316547,2.722049718312478,30.219586114571516
Life & Earth Sciences,2021,OpenAlex,189,355,4063,3790,1952,24997,3831,2037,25528,77956,0.242444455846888,0.45538508902457797,5.211914413258762,4.861716865924367,2.5039766021858485,32.065524141823595,4.91431063676946,2.613012468572015,32.74667761301247
Life & Earth Sciences,2021,PubMed,215,588,6652,3297,2851,35757,3389,3057,37169,120443,0.1785076758300607,0.4881977366887241,5.52294446335611,2.737394452147489,2.3670948083325722,29.68790216118828,2.8137791320375616,2.5381300698255607,30.86024094384896
Life & Earth Sciences,2022,OpenAlex,290,472,6446,5374,2802,39241,5434,2932,40060,117350,0.24712398806987645,0.4022155943757989,5.492969748615254,4.5794631444397105,2.387729015764806,33.439284192586285,4.630592245419685,2.4985087345547505,34.13719642096294
Life & Earth Sciences,2022,PubMed,220,630,7207,3366,3017,38617,3433,3229,40151,128506,0.1711982319891678,0.4902494825144352,5.608298445208784,2.6193329494342676,2.347750299596906,30.050736930571336,2.6714705928127866,2.5127231413319224,31.244455511804897
Life & Earth Sciences,2023,OpenAlex,362,514,7084,5546,3139,44130,5626,3267,44983,125310,0.2888835687495013,0.41018274678796585,5.653180113318969,4.425823956587663,2.504987630675924,35.21666267656213,4.489665629239486,2.6071343069188413,35.89737451121219
Life & Earth Sciences,2023,PubMed,279,630,7616,3427,3155,41263,3522,3350,42871,133522,0.20895432962358262,0.4718323572145414,5.703928940549123,2.566618235197196,2.3629064873204415,30.903521517053367,2.6377675589041507,2.508949835982085,32.10781743832477
